segment_id,video_id,audio_path,mistral_transcript,ctc_transcript,cer_agreement,wer_agreement,character_similarity,word_similarity,length_ratio,ctc_confidence,provisional_quality_score,human_label,corrected_transcript,reviewer_notes
2O7Vcw_pw_o,2O7Vcw_pw_o,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\2O7Vcw_pw_o.mp3,"goodness because mssa is evening lkhir is goodness can you say that? awesome let's move to the next one lila sa3ida once again lila sa3ida good night but let's break it down so we have the word lila which stands for a night and then we have sa3ida which means happy so I'm literally saying night happy This is how Moroccans say good night. And again, try to train yourself on the pronunciation of the word sa3ida letter ayn. But this time it sounds ay ay. We say sa3ida. Can you say that again? Very good. And there is another way to say good night, we will see it now. Stay tuned. تصبح على خير تصبح على خير can you repeat it؟ Very good, but let's try to explain it a little bit. Actually, this is a phrasal sentence, which means that the first word means to wake up, to get up. It's an action word. And then there is the word على which means on, it's a preposition. And the last one is goodness, khir stands for goodness. So I'm literally saying waking up on goodness. And if it didn't make a sound, let's say it is the equivalent of have a good morning when you wake up. This is how people communicate in this part of the world. It's a different language, different culture. And once again, don't forget letter ayn. This time we pronounce it ay.",,,,,,,,,,,
65diFD9f8AA,65diFD9f8AA,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\65diFD9f8AA.mp3,مهم ما عرفت صراحة شحال كتبونا كتبونا يا جماعة الله يسطر عليكم واش هاداك الشي كاين ولا ما كاينش واش خوكوم السوري غايتسطى غادي يحماق هنايا ولا باقي وغادي نخماق غادي يخرج ليا العقل خلوني ساكت كل نهار كنقول واه صافي أتقنت هاداك الشي ديال المغربي أتقنت الثقافة المغربية تخرج لي شي حاجة من الجم كاع ما عارفها ونسيت ليكم واحد الحاجة كيلو كاين اللي كيقول كيلو، كيلو مطيشة، كيلو خيال، ما بعرف شنو. كيلو كمان بدل على الفلوس، كيلو وموكا والجعبة. على صراحة الله الكيلو أنا ما عارف شحال. الموكا ما عرفت شحال كتبونا شحال وكاينة هذي الكلمات دلع الفلوس ولا لا موكا وكيلو وريك عرفناها عشر تلاف كيلو ما عرفتوش الجعبة انا عرفتها الجعبة يعني مثلا انا بدي اقضي غلط مع واحد ومثلا واحد أخدتو يشتري شروة سيارة بيت كذا مثل السمسار كاين الجعبة يعني السمسرة ديالي هيك صح ولا غلط كتبونا يا جماعة الله يخليكم كنحس حال بديت كنحماق أنا والله ما عرفت إيه وخلونا على الله وصافي ودابا عنكم موكا كتبونا شحال هي وكيلو واش كاين هذيك كيلو ولا لا أنا كيلو كانعرف غير كيلو مطيشة كيلو طاطا ما عرفت واش بصح ولا لا الصرف الصرف تا هي يعني شوفو غانجمعلكم الكلمات دابا كلها يا تون اللغة ديال الفلوس العاقة عمر الحبة الكرمومة الكرميلة الشقفة ميمي ميمي البركة البركة نسيناها كاينة شي بركة ولا شنو بركة خلاش ديك البركة,,,,,,,,,,,
AGlFChj0sYg,AGlFChj0sYg,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\AGlFChj0sYg.mp3,شوف ما يبرد الجوف، أنظر لا تبرد أنظار الآخرين، وتحية ولات تحت حمام، وتحية القيب والشواية، وتحية ولات تحت حمام، هزموني ورزموني وما تعولوش عليا. حزموني ورزموني ولا تعولوا عليا تحية لولاد تحت حمام ويحيا مول الكابيتو تحية المدرسة عبد السلام السايح وتحية خالد مول الحانوت خالد مول الحانوت يالا نتا تشارتي على وجهنا قبل ما يجي le domaine دابا تشارتي وتحية لعمي بوسمة يا ما تبقاش تقولك نية ما دير الخير ما يطرا باس لا تفعرو الخيرة وينكرونه وتحية ولات تحت حمام مالك مغيا ماذا بك يا عزيزي يا حبيبي يا خليلي يا شبيني la compétition ما بين الأجيال نشوفو الجيل ديالهم والجيل ديالك شكون اللي غادي يتحزم الشوف ما يبرد الجوف النظرة شنو يترجمها ديالتو هو النظرة يبرد النظرة لا يبرد الجوف لا يبرد الجوف النظرة لا يشفي غليلة معلم الله يحفظك الله يحفظك شريت بياسة حارة ça dépend على البياسة إلا شريتي توتة توتة، هانتوما عارفين شنو هي توتة؟ توتة، هاه، دبرتي على شي توتة، شي بياسة، بياسة حارة، بياسة، إيه أنا درك واحد collier مدبر عليها بياسة بخير. j'ai acheté des خامي خامي de mon qualité، حارة. أنا قلبي إليك ميال، الله الله، يا درا وما فيش غيرك على البال، أنا قلبي إليك ميال، وما فيش غيرك على البال، يا غسان أنت اللي حبيبي، يا غسان أنت اللي حبيبي، مهني,,,,,,,,,,,
CJF3xc-hoBM,CJF3xc-hoBM,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\CJF3xc-hoBM.mp3,كل دولة وكل شعب يغير ويحور الكلمات اللغة العربية ويضيف إليها حروف وينقص منها حروف ويمزج كلمات مع بعضها البعض لتعطينا كلمات جديدة في ظاهرها تبدو أنها ليست عربية ولا علاقة لها باللغة العربية لكي تلائم ثقافة وتقاليد ولسان أهل البلد ولذلك من كان بيته من زجاج لا يرمي الناس بالحجارة طبعا أنا فقط أمزح معكم لا تأخذوا هذا الفيديو بمحم الجد نحن نأخذ ونعطي مع بعض سيقول لك آخر والله العظيم المغاربة يفهمون كل لهجات الوطن العربي لكن لماذا نحن المشارقة لا نفهم لهجتكم؟ هذا يعني أن لهجتنا سهلة في حين أن لهجتكم صعبة فبماذا ستحل هذا الإشكال وهذه المعضلة يا يوسف؟ الجواب بسيط جدا واحفظوه وتذكر قبل ما أعطيك الجواب إذا كنت مستمتع بالفيديو فقط خلي like ولو كنت أول مرة تابعني أنا يوسف أعبو صانع محتوى من المغرب من المملكة المغربية أنشر حلقات وفيديوهات متنوعة ومختلفة أنشر مراجعات عن كتب وروايات قصص جرائم وسفاحين حلقات غموض ورعب حلقات علمية عن الفيزياء والكيمياء والكون والفلك وكل المواضيع المختلفة لك الحق تشترك ولك الحق أن تتابع بدون أن تشترك سيقول لك ذلك الشخص بأن لهجتنا مفهومة لأنه ليس فيها كلمات أجنبية في حين أن اللهجة المغربية فيها كلمات أجنبية متأكد؟ متأكد 100% لهجتك ليس فيها كلمات أجنبية؟ هل المغاربة وحدهم من لديهم كلمات دخيلة؟ متأكد للمرة الأخيرة طيب خلينا نشوف لنأخذ اللهجة المصرية على سبيل المثال وهي تقريبا أكثر لهجة عربية مفهومة مع العلم بأنها من أكثر اللهجات العربية احتواء على كلمات أجنبية مصدوم لا تصدق تابع فاللهجة المصرية فيها كلمات فرنسية كلمات إنجليزية كلمات عثمانية وإيطالية وفارسية أي خمس لغات مع بعضها البعض وهذا المقطع من قناة Egyptian أحبابته هو يوضح هذا الأمر الفيديو يتكلم عن,,,,,,,,,,,
Eie0jMoG9U0,Eie0jMoG9U0,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\Eie0jMoG9U0.mp3,ساعة ما حيينا وقلنا بين دارا فكورة فمن عمرك شفتي هذي المظاهرة لا كذا والمظاهرة دايما لا هو أنا ما كان حاجة ما هو كاس العالم بادي من يوم من يوم إيه من يونيو فاهمني أنت في يوليو فاهم ما حدش يتكلم على التحكيم النهاردة أول مرة اللي كان باين جدا ما تكلموش غير مع ماتش راس لا قدر برضه exact ماتشات الأرجنتين اللي فيها جدال فأنت بتتكلم على جدال دائما هتلاقي اللي فيه جدال دائما ماتشات الأرجنتين ظلم وجبن واضح ومقصود هو الفساد بقى علني فده اللي هو اللي خرج الاتحاد الأوروبي والناس دي كلها نجوم العالم ديال كلهم والصحفيين الأوروبيين أن الفساد بقى علني أيه هو بيعمل كده زي التصريح اللي قاله وبعد كده قال لي خاصو زلت لسان وعاد لأن أنا فير في جميع يعني هو راه في عالم مصر يعني أنا بشجع مصر أنا عارف يعني هو ده اللي أنت أنا أجيب ليكم الأخبار حاليا لأنه يرد يعني على الإشاعات اللي بتطيلوا دلوقتي والكلام اللي بتقال فهو لا أنا صح أنا شايفاها فعلا طريقة داب جد داب جد أنت معاك حق هي فعلا أنا حاسها طريقة داب جد الصورة دي أنا حاسها طريقة ممكن أو ممكن بيهدد بيهدد الأراء لا ما بيهديش أراء بالعكس هو هو أكثر من كده جرأة إيه يا كابتن أحمد حتى في واحد لا ودامي العالم كله عيبا مشجع مصر يقولوا لا أوصي صباحا بيشاورهم ده مشجع مصر أكيد اللي لدقنا وبينا دي فبيقولوا لا لا لا لا أنت بيقولوا حاسس بالعالم لا هو مشجع مصر يا باين يا باين يا باين هو بيهدد الناس الناس تقريبا كتساير عليه لأنه بيقولوا لا لا لا ماشي مش بالعالم أنت خلاص أنت خرجتي أنا من le bureau بس هو زي ما أنت قلتي بقى أول أول groupe تاخدها بانه هو يعني احترام لمنتخب مصر رفع على مصر احترام للأداء اللي منتخب مصر أدى له عليه وبتاع بطولة البطولة اه بطولة البطولة فهو ممكن يكون مساندة معنوية لكن الناس فاهمة ماشي طب هو بعد ما رفع على العالم أنا هعمل إيه؟ أو إحنا كمنتخب هعمل إيه؟ يعني هو أنا بقولك هو بلان شغل وب,,,,,,,,,,,
eY2qIrq4uPc,eY2qIrq4uPc,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\eY2qIrq4uPc.mp3,أوضح أن فرنسا تبقى الأقوى من الناحية البدنية، وهو ما يجعلها قادرة على حسم الكثير من المباريات حتى أمام منافسين يملكون جودة فنية كبيرة. لذلك، فإن المنافسة الحقيقية على اللقب حسب تقديره ستكون بين فرنسا وإسبانيا، باعتبارهما الأكثر جاهزية من جميع الجوانب. وجاءت هذه التصريحات في وقت يواصل فيه المنتخب المغربي التحضير بهدوء لمواجهة ربع النهائي، بعيدا عن الضجة الإعلامية التي بدأت ترتفع قبل اللقاء، فأصول الأطلس يدخلون المباراة بثقة كبيرة بعد المشوار المميز الذي قدموه منذ بداية البطولة. حيث تمكنوا من تجاوز منافسين قوية، وأثبتوا مرة أخرى أنهم أصبحوا منتخبا يصعب التغلب عليه. كما أن المنتخب المغربي لم يصل إلى هذا الدور بفضل الحظ أو الصدفة، وإنما بفضل شخصيات قوية داخل الملعب، وانضباط تكتيكي واضح، وجودة فردية وجماعية جعلته يحظى باحترام مختلف المدارس الكروية، وهو ما جعل كثيرا من المحللين يعتبرون أن المغرب أصبح قادرا على منافسة أي منتخب في العالم مهما كان اسمه أو تاريخه. ورغم أن Wenger لم يرشح المغرب لإيقاف فرنسا، فإن الواقع داخل البطولة يقدم صورة مختلفة تماما، فالمنتخب المغربي يدخل المواجهة بسجل مميز وبثقة متزايدة بعد النتائج التي حققها، بينما يدرك المنتخب الفرنسي أنه سيكون أمام خصم يملك السرعة والمهارة والتنظيم، ويعرف جيدا كيف يتعامل مع المباريات الإقصائية. ومع اقتراب صفيرة البداية، تتجه أنظار عشاق كرة القدم في مختلف أنحاء العالم إلى هذه القمة المنتظرة، التي تجمع بين منتخبين يعيشان فترة,,,,,,,,,,,
GiMg9hsSkdQ,GiMg9hsSkdQ,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\GiMg9hsSkdQ.mp3,"fresh bread, you suddenly want everything. Dangerous situation, honestly. Very dangerous. So one useful phrase is bghit hadak, meaning I want that one. Easy. And if something looks beautiful, you can say zwina. Yes, zwina means beautiful or nice. For example, had lblassa zwina, meaning this place is beautiful. Or had l9ahwa zwina, this café is nice. Morocco honestly has so many beautiful cafés. Especially at night. Oh yes, lights, tea, people talking for three hours. Over one coffee. Classic Moroccan café culture. Okay, another great expression beginners should know is chno. Very useful. chno means what? You'll hear this constantly. For example, chnou smitek? Meaning, what's your name? Or, chnou hakchi? What is this? Honestly, beginners can survive a lot just using chno. True. Point at object, say, chnou hakchi. Boom. Free vocabulary lesson. Exactly. Okay, guys. Mini speaking challenge. Repeat after us. mzyan. hani. zwina. chno. Very good. You already sound more natural. Now, let's talk about Moroccan hospitality. Oh, wow. Prepare yourselves, everyone. If a Moroccan family invites you to eat, you are not escaping hungry. Impossible. Exactly. And one expression you might hear is koul mzyan. Meaning, eat well. Moroccan moms love saying this. And they keep bringing food. More bread, more tea, more chicken, more everything. And if you say, I'm full. They look personally offended. Exactly. Another useful word is barek. Very common. barek means enough. For example, barek mnin dak, meaning enough laughing. Although, honestly, Moroccans never stop laughing during family gatherings. Very.",,,,,,,,,,,
H30u3jvT46k,H30u3jvT46k,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\H30u3jvT46k.mp3,نسخ يا مدح كنظن يا حاسب ما عارفش يا ما مانيش عارف يمكن أو تقدر يا بالك دغيا في ساعة تالف مدة الكنية هي نكوة الريال والدورو الروبيني هي السقاية البوطو هي الطينغرافة الرويضة هي الجرارة الحرشة هي المبسس والملاوي هو المسمن البرد والزفزافي أو السماقري الصهد الحمان الغياب ديال التلاميذ والتزمبيل الوقيد والظلاميط بغرير chrinko شباكية زلابية كاوكاو قاوكاو طبسيل طبسي الصباغة البنتورة، الصندالة النعالة، البير حاسي، الدراري الصغار هما البز أو البزوز، طربوش الشاشية، سخون حامي، الشتا النو، العافية هي النار، تسعود هي تسعة، السم هو الرهج، grillo هو سراق الزيت، الكبير هو الوش أو التبلعيط، الصاك هو الموزط، الثلاجة frigidaire، العيالات bonsoir، شفار أو سراق هو خوان، النعاس هو الرقاد، الشركة هي الكوبانية، الوزغة أو بوبريس الزرمومية، البخيل أو الشحيح هو القرزاز، الطوموبيل l'auto، الموطور هو la moto، الحامض هو الليم، مطيشة طماطيش. الفكوس والكروم، الدلاح والدليع، خيزو الزرودية,,,,,,,,,,,
hsqfUR_FMzU,hsqfUR_FMzU,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\hsqfUR_FMzU.mp3,عليه طوال أربعة أعوام. حنا قررنا باش نديرو هاد القاموس لماذا؟ باش نسهلو الناس فهم الكلمات اللي ما يفهموهاش، كاين كلمات اللي تجي من الشمال ولا من الجنوب، وبغينا يفهمها الجميع. صدر القاموس عن مركز تنمية الدارجة المغربية الذي أسسه عيوش، ويقع في حوالي ألف صفحة. يتضمن كلمات متداولة في الدارجة المغربية وتفسيرها. لكنه لقي معارضة شرسة من قبل المدافعين عن الفصحى، الذين اعتبروه استهدافا جديدا من تيار francophonie للغة العربية. لاحظنا بأن الأطفال الذين يستقبلون باللغة بالدارجة بلغة الأم يفهمون أكثر اللغة العربية. حنا هاد الدارجة وهاد القاموس وهاد القواعد النحل اللي مكتوبة باللغة العربية ستسهل فهم وتثقيف اللغة العربية. إذن ليس ضد اللغة العربية، حنا ليس ضد العربية. هذا القاموس المصور الغني بالأمثلة والحكم المغربية أثار جدلا كبيرا ولاقى رواجا من قبل الأجانب الراغبين في تعلم الدارجة المغربية. بالنسبة لقاموس الدارجة المغربية عرف واحد الإقبال من قراء ولا سياما قراء الأجانب اللي بغاو يتعرفوا على الدارجة المغربية. في المغرب استخدمت الدارجة في الأدب الشعبي وفي الزجل، وهو شكل تقليدي من أشكال الشعر باللغة المحكية. فوزية بوكريان تحاول الحفاظ على هذا التراث عن طريق تدوين العديد من القصائد الزجلية القديمة. لولا الأمطار لا عود كتار، فمالت وما اهتمت، فجأة شح الواد وبقيت عواد وبقى ربي الجواد. تطورت الدارجة المغربية وتوسعت في مجالات كثيرة، دخلت إلى ميدان الإعلانات وإلى ميدان الكتابة في الأدب والصحافة. معظم الجرائد أصبحت تزاوج بين اللغة العربية والمحكية مثل جريدة باب بوبي,,,,,,,,,,,
mHFWO6cmx7o,mHFWO6cmx7o,C:\Users\BadrJOULALI\Downloads\mistral_darija_stt_benchmark\audio\mHFWO6cmx7o.mp3,مستعملة في المشرق راه كاين فرق لأن حنا عندنا تاريخ عندنا مسار خاص هما عندهم مسار آخر ختالف علينا تماما من شرق المغرب وتمشي عندهم تاريخ آخر اش تيقول هنا Van Putte فصفحة 30 رحلة في إمبراطورية المغرب هذا هو العنوان للكتاب جاء في 1791 في عهد مولاي اليزيد العلوي تيقول لاحظت أيضا هذا راه جاو تيشوف ما تتمتع به إمبراطورية المغرب من أهمية استثنائية من أهمية استثنائية حيث تعتبر الدولة الوحيدة التي تستعمل العربية عارية عن أي اختلاط بالتركية يعني اللغة اللي كاين عندنا حنايا ما فيهاش التركية لغة عربية لأننا لا منخضع للترك كما يزعم البعض لا منخضع للترك إذن ما كانش عندنا حنا اللغة التركية معناها أن الأقطار الأخرى خضعات للتتريك حنا ما خضعناش للتتريك خضعات للتتريك وخضعات للفرناسة وخضعات وخضعات المغرب لا محافظ على خصوصيته على التميز نتاعو وتزيد تيقول وفي هذا تبدو أكثر صفاء حتى مما هو الأمر في مسقط أو صنعاء مسقط أو صنعاء لم تخضع الإمبراطورية العثمانية لكن هنا في المغرب هي أكثر صفاء من اللغة التي هي في المشرق خضعنا للتعريب، ادري واش أمير؟ اه، دابا نتا تتبدا تتكلم ليا على دابا؟ تتكلم ليا على دابا؟ ايه، وبغيتو هاد الموضوع نناقشوه حتى هو يناقش الاخوان. ايه، كاين هادشي اللي قلتو كاين. من طرف فعاليات في هاد المجتمع لها ارتباط بالمشرق مباشرة باش نكونو واضحين الاخوان باش نكونو واضحين كاين فعاليات في المجتمع هنا كنتكلم على احزاب سياسية,,,,,,,,,,,
