index,video_id,youtube_url,title,original_duration_seconds,sample_start_seconds,sample_end_seconds,sample_duration_seconds,status,error
1,iZa06jAEi5c,https://www.youtube.com/watch?v=iZa06jAEi5c,تعلم اللهجة المغربية الجزء الأول,424.0,152.0,272.0,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
2,b04iTOyzEPo,https://www.youtube.com/watch?v=b04iTOyzEPo,أسهل طريقة لتعلم الدارجة المغربية في دقائق.,579.0,229.5,349.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
3,CJF3xc-hoBM,https://www.youtube.com/watch?v=CJF3xc-hoBM,🇲🇦 😨 لماذا اللهجة المغربية صــعبـة ؟,1288.0,584.0,704.0,120.0,selected,
4,UvkYT5syIaU,https://www.youtube.com/watch?v=UvkYT5syIaU,الحلقة 619 من قصة حادة🔥راجلي باع ليا ولدي😱لكن الله كبير☝النهاية صادمة😳قصة حقيقية بالدارجة المغربية🇲🇦,5985.0,2932.5,3052.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
5,pUYmlJ9BJKs,https://www.youtube.com/watch?v=pUYmlJ9BJKs,من اصعب لهجة عربية ؟ المغربية ام الجزائرية ؟,111.0,,,120.0,too_short,
6,,https://www.youtube.com/watch?v=-7ST9v78HzA,,,,,120.0,unavailable,ERROR: [youtube] -7ST9v78HzA: This video is not available
7,u2ODP_0Qoyk,https://www.youtube.com/watch?v=u2ODP_0Qoyk,المفكر حسن أوريد الدارجة المغربية أمازيغية معربة #الأمازيغ #الأمازيغية #المغرب_الجزائر #العربية,555.0,217.5,337.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
8,qcDk9MoxW3A,https://www.youtube.com/watch?v=qcDk9MoxW3A,صدمة لغوية! 🤯 الدارجة المغربية الأقرب للفصحى.. سرٌّ يجهله 90% من العرب! 🇲🇦📚,159.0,19.5,139.5,120.0,selected,
9,SkN222Bc1AE,https://www.youtube.com/watch?v=SkN222Bc1AE,حكاية || ضياف مسعود و زهيرة|| قصص و حكايات بالدارجة المغربية بقلم #وفاء_العمري,4448.0,2164.0,2284.0,120.0,selected,
10,ofoOMJ6DIZM,https://www.youtube.com/watch?v=ofoOMJ6DIZM,تعلم اللهجة المغربية في 5 أيام (الجزء 1),525.0,202.5,322.5,120.0,download_error,ERROR: unable to download video data: HTTP Error 403: Forbidden
